City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Georgetown,MY,5.4112,100.3354,80.53,80,20,2.3,few clouds
1,Bereda,ES,43.2686,-7.5406,52.14,100,100,3.8,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,55.51,88,75,5.75,broken clouds
3,Khatanga,RU,71.9667,102.5,-42.47,96,10,4.54,clear sky
4,Belmonte,BR,-15.8631,-38.8828,76.78,82,45,5.97,scattered clouds
5,Lata,PT,40.1629,-8.3327,55.08,97,100,10.71,overcast clouds
6,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,100,16.11,light snow
7,Kasongo-Lunda,CD,-6.4667,16.8167,69.66,97,97,0.76,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,77.09,72,100,1.92,light rain
9,Usevya,TZ,-7.1,31.2333,64.96,95,100,1.34,overcast clouds
10,Bambous Virieux,MU,-20.3428,57.7575,78.22,94,75,11.5,heavy intensity rain
11,Provideniya,RU,64.3833,-173.3,-12.89,70,0,4.47,clear sky
12,Richards Bay,ZA,-28.783,32.0377,77.31,88,66,4.65,broken clouds
13,Port Alfred,ZA,-33.5906,26.891,69.19,96,47,1.99,light rain
14,Honningsvag,NO,70.9821,25.9704,31.75,69,20,16.11,few clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,77.56,90,57,4.0,broken clouds
16,Saint-Philippe,RE,-21.3585,55.7679,76.59,93,100,14.05,light rain
17,Bouna,CI,9.2667,-3.0,75.88,19,63,3.15,broken clouds
18,Ribeira Grande,PT,38.5167,-28.7,59.77,73,75,15.01,broken clouds
19,Constitucion,CL,-35.3333,-72.4167,61.72,76,64,6.33,broken clouds
20,Zakamensk,RU,50.3741,103.2863,-10.91,93,100,3.06,overcast clouds
21,Kirakira,SB,-10.4544,161.9205,82.9,80,100,9.84,overcast clouds
22,Hermanus,ZA,-34.4187,19.2345,61.81,86,3,5.91,clear sky
23,Kabare,CD,-2.4683,28.8242,59.77,92,64,0.25,broken clouds
24,Cooma,AU,-36.2333,149.1333,59.38,52,28,4.14,scattered clouds
25,Saint-Augustin,CA,51.226,-58.6502,24.57,70,100,19.8,overcast clouds
26,Hobart,AU,-42.8794,147.3294,68.05,56,20,9.22,few clouds
27,Hobyo,SO,5.3505,48.5268,76.05,78,46,21.68,scattered clouds
